,avg_acc_tag,name,data.datasets,data.exemplars.num_exemplars,data.exemplars.exemplar_selection,data.exemplars.num_exemplars_per_class,data.extra_aug,num_tasks,data.batch_size,data.nc_per_task,data.num_workers,data.stop_at_task,data.nc_first_task,data.ne_first_task,data.use_valid_only,data.use_test_as_val,data.max_classes_per_dataset,data.max_examples_per_class_trn,data.max_examples_per_class_tst,data.max_examples_per_class_val,misc.cm,misc.gpu,misc.log,seed,misc.tags,misc.exp_name,misc.save_models,misc.results_path,misc.last_layer_analysis,misc.cache_first_task_model,misc.no_cudnn_deterministic,network,model.pretrained,model.keep_existing_head,wandb.project_name,training.lr,training.vcreg.scale,training.vcreg.cov_weight,training.vcreg.reg_layers,training.vcreg.smooth_cov,training.vcreg.var_weight,training.vcreg.n_first_task,training.fix_bn,training.warmup.wu_lr,training.warmup.wu_wd,training.warmup.wu_fix_bn,training.warmup.wu_nepochs,training.warmup.wu_patience,training.warmup.wu_scheduler,training.nepochs,training.approach.name,training.approach.kwargs.all_outputs,training.clipping,training.optimizer.name,training.optimizer.kwargs.momentum,training.optimizer.kwargs.weight_decay,training.no_learning,training.eval_on_train,training.multi_softmax,training.early_stopping.lr_min,training.early_stopping.lr_factor,training.early_stopping.lr_patience,training.gridsearch_tasks,training.scheduler_milestones,training.select_best_model_by_val_loss,training.approach.kwargs.lamb,training.approach.kwargs.alpha,training.approach.kwargs.fi_num_samples,training.approach.kwargs.fi_sampling_type,training.approach.kwargs.T,training.approach.kwargs.mc,training.approach.kwargs.ta,training.approach.kwargs.tp,training.approach.kwargs.bnp,training.approach.kwargs.cka,training.approach.kwargs.ctt,training.approach.kwargs.cbnt,training.approach.kwargs.ta_lr,training.approach.kwargs.debug_loss,training.approach.kwargs.taskwise_kd,training.approach.kwargs.pretraining_epochs,dataset,approach,is_regularized,is_big_task,project_name,T,device,epochs,prefix,shuffle,init_cls,increment,batch_size,init_epochs,memory_size,num_workers,overfit_data,results_path,stop_at_task,save_checkpoint,vcreg.cov_weight,vcreg.reg_layers,vcreg.var_weight,optimizer.lr,optimizer.name,optimizer.init_lr,optimizer.weight_decay,optimizer.init_lr_decay,optimizer.init_weight_decay,scheduler.gamma,scheduler.step_size,optimizer.kwargs.momentum,temp,lambda_fkd,lambda_proto
2,50.96,avid-yogurt-10,,,,,,10,,,,,,,,,,,,,,,,2,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
3,49.283,dainty-elevator-12,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
4,38.28600000000001,earnest-serenity-13,,,,,,20,,,,,,,,,,,,,,,,2,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
5,37.104,floral-meadow-14,,,,,,20,,,,,,,,,,,,,,,,1,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
12,34.228,polar-terrain-26,,,,,,10,,,,,,,,,,,,,,,,0,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*classifier,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
13,32.715,helpful-firefly-28,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*classifier,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
14,24.848999999999997,rare-snowflake-29,,,,,,20,,,,,,,,,,,,,,,,0,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*classifier,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
15,37.431,amber-wildflower-30,,,,,,10,,,,,,,,,,,,,,,,2,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*classifier,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
16,21.2355,serene-smoke-31,,,,,,20,,,,,,,,,,,,,,,,1,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*classifier,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
17,24.783,splendid-night-32,,,,,,20,,,,,,,,,,,,,,,,2,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*classifier,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
18,38.34799999999999,earnest-surf-46,,,,,,5,,,,,,,,,,,,,,,,0,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},20.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*classifier,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
19,38.978,divine-dawn-47,,,,,,5,,,,,,,,,,,,,,,,1,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},20.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*classifier,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
20,34.267,trim-plasma-50,,,,,,10,,,,,,,,,,,,,,,,2,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*classifier,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
21,42.476,stoic-sun-51,,,,,,5,,,,,,,,,,,,,,,,2,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},20.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*classifier,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
22,29.846000000000004,major-grass-52,,,,,,10,,,,,,,,,,,,,,,,0,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*classifier,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
23,31.126000000000005,exalted-pond-53,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*classifier,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
24,27.386000000000003,fragrant-wind-54,,,,,,20,,,,,,,,,,,,,,,,0,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*classifier,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
25,26.801999999999992,solar-smoke-55,,,,,,20,,,,,,,,,,,,,,,,1,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*classifier,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
26,29.039500000000004,copper-bush-56,,,,,,20,,,,,,,,,,,,,,,,2,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*classifier,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
36,39.303,whole-vortex-75,,,,,,10,,,,,,,,,,,,,,,,0,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
37,56.462,celestial-star-76,,,,,,5,,,,,,,,,,,,,,,,2,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},20.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
38,54.50999999999999,resilient-wildflower-77,,,,,,5,,,,,,,,,,,,,,,,0,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},20.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
39,53.636,summer-rain-78,,,,,,5,,,,,,,,,,,,,,,,1,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},20.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
40,40.225,desert-totem-79,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
41,31.676499999999997,pleasant-rain-80,,,,,,20,,,,,,,,,,,,,,,,0,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
42,43.92,splendid-elevator-80,,,,,,10,,,,,,,,,,,,,,,,2,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
43,29.273000000000003,chocolate-valley-82,,,,,,20,,,,,,,,,,,,,,,,1,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
44,27.428500000000003,ethereal-breeze-83,,,,,,20,,,,,,,,,,,,,,,,2,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
0,53.758333333333326,golden-glade-14,,,,,,10,,,,,,,,,,,,,,,,0,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_skipping,5.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
1,43.98833333333334,fanciful-voice-13,,,,,,10,,,,,,,,,,,,,,,,0,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_skipping,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
2,24.553333333333335,blooming-dew-15,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_skipping,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
3,51.785,magic-pond-16,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_skipping,5.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
4,33.365,smart-aardvark-17,,,,,,10,,,,,,,,,,,,,,,,2,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_skipping,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
5,47.413333333333334,winter-hill-18,,,,,,10,,,,,,,,,,,,,,,,2,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_skipping,5.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
6,42.13666666666666,glowing-capybara-19,,,,,,10,,,,,,,,,,,,,,,,0,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_skipping,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
7,50.75166666666667,glad-mountain-20,,,,,,10,,,,,,,,,,,,,,,,0,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,True,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_skipping,5.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
8,40.74666666666666,lyric-durian-21,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_skipping,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
9,50.50666666666667,dry-galaxy-22,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,True,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_skipping,5.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
10,44.54999999999999,pleasant-fog-23,,,,,,10,,,,,,,,,,,,,,,,2,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,False,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_skipping,0.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
11,49.52,dashing-rain-24,,,,,,10,,,,,,,,,,,,,,,,2,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,True,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_skipping,5.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
12,73.83,stilted-night-25,,,,,,10,,,,,,,,,,,,,,,,0,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
13,75.57333333333334,whole-armadillo-26,,,,,,10,,,,,,,,,,,,,,,,0,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
14,72.39666666666666,astral-armadillo-27,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
15,73.51166666666667,legendary-bee-28,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
16,74.26666666666667,twilight-glitter-29,,,,,,10,,,,,,,,,,,,,,,,2,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
17,75.425,glad-snowflake-30,,,,,,10,,,,,,,,,,,,,,,,2,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-big_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,True,pycil-01.28-big_task,5.0,['cuda:0'],50.0,train,True,50,10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
