,avg_acc_tag,name,data.datasets,data.exemplars.num_exemplars,data.exemplars.exemplar_selection,data.exemplars.num_exemplars_per_class,data.extra_aug,num_tasks,data.batch_size,data.nc_per_task,data.num_workers,data.stop_at_task,data.nc_first_task,data.ne_first_task,data.use_valid_only,data.use_test_as_val,data.max_classes_per_dataset,data.max_examples_per_class_trn,data.max_examples_per_class_tst,data.max_examples_per_class_val,misc.cm,misc.gpu,misc.log,seed,misc.tags,misc.exp_name,misc.save_models,misc.results_path,misc.last_layer_analysis,misc.cache_first_task_model,misc.no_cudnn_deterministic,network,model.pretrained,model.keep_existing_head,wandb.project_name,training.lr,training.vcreg.scale,training.vcreg.cov_weight,training.vcreg.reg_layers,training.vcreg.smooth_cov,training.vcreg.var_weight,training.vcreg.n_first_task,training.fix_bn,training.warmup.wu_lr,training.warmup.wu_wd,training.warmup.wu_fix_bn,training.warmup.wu_nepochs,training.warmup.wu_patience,training.warmup.wu_scheduler,training.nepochs,training.approach.name,training.approach.kwargs.all_outputs,training.clipping,training.optimizer.name,training.optimizer.kwargs.momentum,training.optimizer.kwargs.weight_decay,training.no_learning,training.eval_on_train,training.multi_softmax,training.early_stopping.lr_min,training.early_stopping.lr_factor,training.early_stopping.lr_patience,training.gridsearch_tasks,training.scheduler_milestones,training.select_best_model_by_val_loss,training.approach.kwargs.lamb,training.approach.kwargs.alpha,training.approach.kwargs.fi_num_samples,training.approach.kwargs.fi_sampling_type,training.approach.kwargs.T,training.approach.kwargs.mc,training.approach.kwargs.ta,training.approach.kwargs.tp,training.approach.kwargs.bnp,training.approach.kwargs.cka,training.approach.kwargs.ctt,training.approach.kwargs.cbnt,training.approach.kwargs.ta_lr,training.approach.kwargs.debug_loss,training.approach.kwargs.taskwise_kd,training.approach.kwargs.pretraining_epochs,dataset,approach,is_regularized,is_big_task,project_name,T,device,epochs,prefix,shuffle,init_cls,increment,batch_size,init_epochs,memory_size,num_workers,overfit_data,results_path,stop_at_task,save_checkpoint,vcreg.cov_weight,vcreg.reg_layers,vcreg.var_weight,optimizer.lr,optimizer.name,optimizer.init_lr,optimizer.weight_decay,optimizer.init_lr_decay,optimizer.init_weight_decay,scheduler.gamma,scheduler.step_size,optimizer.kwargs.momentum,temp,lambda_fkd,lambda_proto
6,32.6805,astral-snowflake-7,,,,,,20,,,,,,,,,,,,,,,,0,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_skipping,5.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
7,33.501999999999995,cosmic-leaf-8,,,,,,20,,,,,,,,,,,,,,,,1,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_skipping,5.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
8,31.87850000000001,valiant-grass-9,,,,,,20,,,,,,,,,,,,,,,,2,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_skipping,5.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
9,38.764,devoted-pyramid-10,,,,,,10,,,,,,,,,,,,,,,,0,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_skipping,5.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
10,38.938,legendary-haze-11,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_skipping,5.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
11,40.225,fallen-breeze-12,,,,,,10,,,,,,,,,,,,,,,,2,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_skipping,5.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
12,30.35449999999999,electric-moon-13,,,,,,20,,,,,,,,,,,,,,,,0,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_skipping,5.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
13,29.65250000000001,peachy-aardvark-14,,,,,,20,,,,,,,,,,,,,,,,1,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_skipping,5.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
14,60.00599999999999,solar-blaze-15,,,,,,5,,,,,,,,,,,,,,,,0,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},20.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
15,33.5245,major-glitter-16,,,,,,20,,,,,,,,,,,,,,,,2,,,,,,,,convnext_tiny,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_skipping,5.0,0.0005,adam,0.001,0.0005,0.1,0.0005,0.1,45.0,,,,
16,59.895999999999994,drawn-dawn-17,,,,,,5,,,,,,,,,,,,,,,,1,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},20.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
17,46.776,desert-durian-18,,,,,,10,,,,,,,,,,,,,,,,0,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
18,61.128,peach-smoke-19,,,,,,5,,,,,,,,,,,,,,,,2,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},20.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
19,46.906000000000006,gentle-valley-20,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
20,49.129,atomic-elevator-21,,,,,,10,,,,,,,,,,,,,,,,2,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
21,38.5875,celestial-snowflake-22,,,,,,20,,,,,,,,,,,,,,,,0,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
