name,cifar_5,cifar_10,cifar_20,imagenet_10,imagenet_20
Finetuning,24.99,14.14,7.44,,
+vcreg,31.36,20.05,13.76,,
Replay,33.71,31.02,23.43,,
+vcreg,39.36,34.78,29.59,,
EWC,28.24,17.13,9.73,,
+vcreg,34.53,22.94,15.52,,
LWF,39.61,29.35,22.13,,
+vcreg,49.74,39.98,31.24,,
