name,cifar_5,cifar_10,cifar_20,imagenet_10,imagenet_20
Finetuning,27.19,15.57,5.65,,
+vcreg,31.5,20.59,8.39,,
Replay,34.7,28.77,31.72,,
+vcreg,38.62,33.04,32.75,,
EWC,29.61,17.69,,,
+vcreg,34.19,24.6,,,
LWF,40.83,29.98,,,
+vcreg,49.63,40.01,,,
