name,cifar_5,cifar_10,cifar_20,imagenet_10,imagenet_20
Finetuning,25.72,14.79,4.2,,
+vcreg,30.32,20.39,7.87,,
Replay,34.18,28.5,29.65,,
+vcreg,36.64,31.56,32.19,,
EWC,29.55,16.53,,,
+vcreg,33.63,23.87,,,
LWF,40.63,29.54,,,
+vcreg,48.89,39.05,,,
