reg_layers,real_name,wavg_acc_tag,misc.seed,data.datasets
True,replay,35.79,1,cifar100_fixed
True,lwf,50.79,1,cifar100_fixed
True,ewc,38.76,1,cifar100_fixed
True,finetuning,28.29,1,cifar100_fixed
False,lwf,43.58,1,cifar100_fixed
False,ewc,27.889999999999997,1,cifar100_fixed
False,replay,29.74,1,cifar100_fixed
False,finetuning,22.14,1,cifar100_fixed
