num_tasks,approach,reg_layers,avg_acc_tag,dataset,seed
5,finetuning,False,25.72,cifar100_fixed,1
5,finetuning,True,30.320000000000004,cifar100_fixed,1
5,replay,False,34.699999999999996,cifar100_fixed,1
5,replay,True,36.64000000000001,cifar100_fixed,1
5,ewc,False,29.549999999999997,cifar100_fixed,1
5,ewc,True,33.629999999999995,cifar100_fixed,1
5,lwf,False,40.63,cifar100_fixed,1
5,lwf,True,49.63,cifar100_fixed,1
10,finetuning,False,15.57,cifar100_fixed,1
10,finetuning,True,20.390000000000004,cifar100_fixed,1
10,replay,False,28.499999999999996,cifar100_fixed,1
10,replay,True,31.56000000000001,cifar100_fixed,1
10,ewc,False,16.53,cifar100_fixed,1
10,ewc,True,23.87,cifar100_fixed,1
10,lwf,False,29.98,cifar100_fixed,1
10,lwf,True,40.01,cifar100_fixed,1
20,finetuning,False,8.0,cifar100_fixed,1
20,finetuning,True,13.940000000000005,cifar100_fixed,1
20,replay,False,25.24,cifar100_fixed,1
20,replay,True,30.270000000000003,cifar100_fixed,1
20,ewc,False,9.25,cifar100_fixed,1
20,ewc,True,16.22,cifar100_fixed,1
20,lwf,False,23.630000000000003,cifar100_fixed,1
20,lwf,True,32.06,cifar100_fixed,1
