name,cifar_5,cifar_10,cifar_20,imagenet_10,imagenet_20
Finetuning,20.07,11.45,4.2,,
+vcreg,26.59,13.68,7.87,,
Replay,39.37,32.19,29.65,,
+vcreg,43.46,36.99,32.19,,
EWC,22.44,12.1,1.57,,
+vcreg,33.66,17.5,12.66,,
LWF,38.92,24.14,16.16,,
+vcreg,49.51,37.25,19.98,,
