name,cifar_5,cifar_10,cifar_20,imagenet_10,imagenet_20
Finetuning,20.69,11.49,5.65,,
+vcreg,27.67,13.69,8.39,,
Replay,41.28,36.57,31.72,,
+vcreg,43.68,37.04,32.75,,
EWC,23.16,12.37,6.85,,
+vcreg,33.87,17.98,12.69,,
LWF,39.4,25.75,,,
+vcreg,50.99,37.44,21.24,,
