name,cifar_5,cifar_10,cifar_20,imagenet_10,imagenet_20
Finetuning,20.88,11.69,5.25,11.56,6.38
+vcreg,28.87,13.37,7.44,12.8,6.32
Replay,41.24,37.5,33.43,37.6,37.46
+vcreg,43.73,37.2,32.4,41.26,38.00
EWC,23.69,12.19,6.32,13.52,6.96
+vcreg,32.98,17.25,11.33,17.24,7.16
LWF,39.45,26.45,17.62,34.18,20.14
+vcreg,50.39,38.2,20.82,38.16,20.86
