num_tasks,approach,reg_layers,avg_acc_tag,dataset,seed
10,finetuning,False,,imagenet_subset_kaggle,0
10,finetuning,True,12.8,imagenet_subset_kaggle,0
10,replay,False,,imagenet_subset_kaggle,0
10,replay,True,41.260000000000005,imagenet_subset_kaggle,0
10,ewc,False,,imagenet_subset_kaggle,0
10,ewc,True,17.24,imagenet_subset_kaggle,0
10,lwf,False,,imagenet_subset_kaggle,0
10,lwf,True,38.16,imagenet_subset_kaggle,0
20,finetuning,False,,imagenet_subset_kaggle,0
20,finetuning,True,6.32,imagenet_subset_kaggle,0
20,replay,False,,imagenet_subset_kaggle,0
20,replay,True,38.0,imagenet_subset_kaggle,0
20,ewc,False,,imagenet_subset_kaggle,0
20,ewc,True,7.16,imagenet_subset_kaggle,0
20,lwf,False,,imagenet_subset_kaggle,0
20,lwf,True,20.860000000000003,imagenet_subset_kaggle,0
