num_tasks,approach,reg_layers,avg_acc_tag,dataset,seed
5,finetuning,False,20.88,cifar100_fixed,0
5,finetuning,True,28.87,cifar100_fixed,0
5,replay,False,41.24,cifar100_fixed,0
5,replay,True,43.73,cifar100_fixed,0
5,ewc,False,23.69,cifar100_fixed,0
5,ewc,True,32.98,cifar100_fixed,0
5,lwf,False,39.45,cifar100_fixed,0
5,lwf,True,50.39,cifar100_fixed,0
10,finetuning,False,11.69,cifar100_fixed,0
10,finetuning,True,13.37,cifar100_fixed,0
10,replay,False,37.5,cifar100_fixed,0
10,replay,True,37.2,cifar100_fixed,0
10,ewc,False,12.19,cifar100_fixed,0
10,ewc,True,17.25,cifar100_fixed,0
10,lwf,False,26.45,cifar100_fixed,0
10,lwf,True,38.2,cifar100_fixed,0
20,finetuning,False,5.25,cifar100_fixed,0
20,finetuning,True,7.44,cifar100_fixed,0
20,replay,False,33.43,cifar100_fixed,0
20,replay,True,32.4,cifar100_fixed,0
20,ewc,False,6.32,cifar100_fixed,0
20,ewc,True,11.33,cifar100_fixed,0
20,lwf,False,17.62,cifar100_fixed,0
20,lwf,True,20.82,cifar100_fixed,0
