num_tasks,approach,reg_layers,avg_acc_tag,dataset,seed
10,finetuning,False,11.56,imagenet_subset_kaggle,0
10,finetuning,True,12.06,imagenet_subset_kaggle,0
10,replay,False,37.6,imagenet_subset_kaggle,0
10,replay,True,41.260000000000005,imagenet_subset_kaggle,0
10,ewc,False,13.52,imagenet_subset_kaggle,0
10,ewc,True,17.24,imagenet_subset_kaggle,0
10,lwf,False,34.18,imagenet_subset_kaggle,0
10,lwf,True,38.16,imagenet_subset_kaggle,0
20,finetuning,False,6.38,imagenet_subset_kaggle,0
20,finetuning,True,5.40,imagenet_subset_kaggle,0
20,replay,False,37.46,imagenet_subset_kaggle,0
20,replay,True,38.0,imagenet_subset_kaggle,0
20,ewc,False,6.96,imagenet_subset_kaggle,0
20,ewc,True,5.32,imagenet_subset_kaggle,0
20,lwf,False,20.14,imagenet_subset_kaggle,0
20,lwf,True,20.860000000000003,imagenet_subset_kaggle,0
